hid,name,longitude,latitude,distance_km,checkin_date,最早预定日期,最晚预定日期,search_quantity,try_quantity,order_quantity
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/5/2,20260119,20260208,671,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/6/10,20260119,20260208,222,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/5/4,20260119,20260208,468,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/5/23,20260119,20260208,353,\N,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,2026/6/18,20260525,20260618,2234,1,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,2026/6/9,20260525,20260609,1494,\N,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,2026/6/16,20260525,20260616,1612,\N,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,2026/6/8,20260525,20260608,1301,\N,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,2026/6/17,20260525,20260617,1769,\N,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,2026/5/31,20260525,20260531,953,\N,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,2026/6/13,20260525,20260613,1833,\N,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,2026/6/6,20260525,20260607,1404,\N,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,2026/6/7,20260525,20260607,1661,\N,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,2026/6/10,20260525,20260610,1448,\N,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,2026/6/3,20260525,20260603,1018,\N,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,2026/6/12,20260525,20260612,1987,\N,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,2026/6/2,20260525,20260602,966,\N,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,2026/6/20,20260525,20260621,1860,\N,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,2026/6/1,20260525,20260601,961,\N,\N
